Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10103621,1,"Tuesday, October 19, 2010 08:09:35 UTC",61.6999,-148.1251,2.1,26.30,31,"Southern Alaska"
us,a00041qr,4,"Tuesday, October 19, 2010 08:06:51 UTC",-63.6401,-166.9933,5.0,10.00,22,"Pacific-Antarctic Ridge"
ak,10103618,1,"Tuesday, October 19, 2010 08:02:30 UTC",60.3020,-150.6926,1.6,39.80,11,"Kenai Peninsula, Alaska"
ak,10103617,1,"Tuesday, October 19, 2010 07:55:52 UTC",62.8749,-148.4631,1.9,61.60, 9,"Central Alaska"
ci,14863460,2,"Tuesday, October 19, 2010 07:55:41 UTC",32.5355,-115.7020,1.7,2.50,21,"Baja California, Mexico"
ak,10103610,1,"Tuesday, October 19, 2010 07:27:50 UTC",63.5546,-147.5739,1.8,0.00,19,"Central Alaska"
nm,101910f,A,"Tuesday, October 19, 2010 06:58:42 UTC",35.3139,-92.3165,2.2,2.90, 7,"Arkansas"
ci,14863444,4,"Tuesday, October 19, 2010 06:55:04 UTC",33.9518,-116.5320,1.0,12.20,37,"Southern California"
nm,101910e,A,"Tuesday, October 19, 2010 06:52:38 UTC",35.2921,-92.3337,2.4,3.10, 8,"Arkansas"
ak,10103596,1,"Tuesday, October 19, 2010 06:40:44 UTC",61.3000,-147.5698,2.5,12.20,36,"Southern Alaska"
ak,10103592,1,"Tuesday, October 19, 2010 06:24:27 UTC",62.1396,-152.0648,1.9,108.00,17,"Central Alaska"
nm,101910d,A,"Tuesday, October 19, 2010 05:40:07 UTC",35.2900,-92.3328,2.3,2.80, 7,"Arkansas"
pr,10292001,0,"Tuesday, October 19, 2010 05:22:18 UTC",18.2229,-67.8099,3.3,138.00, 9,"Mona Passage, Puerto Rico"
uw,10190513,1,"Tuesday, October 19, 2010 05:13:06 UTC",46.2215,-119.5810,2.1,17.20,30,"Washington"
nc,71476176,2,"Tuesday, October 19, 2010 05:06:00 UTC",41.0902,-121.6455,1.3,10.30,15,"Northern California"
ci,10169146,2,"Tuesday, October 19, 2010 05:02:28 UTC",32.5698,-115.7645,1.2,4.70,10,"Baja California, Mexico"
ci,14863380,3,"Tuesday, October 19, 2010 05:02:15 UTC",33.2263,-115.7022,1.1,3.70,32,"Southern California"
ci,14863364,3,"Tuesday, October 19, 2010 04:34:20 UTC",36.0340,-117.7688,1.9,3.30,15,"Central California"
ci,14863356,4,"Tuesday, October 19, 2010 04:31:26 UTC",33.8503,-116.5267,1.0,14.20,52,"Southern California"
